"id","manz_ccnct","cod_barr","barrio","zona","y_pred21","y_pred21_red","y_pred20","y_pred20_red","y_pred19","y_pred19_red","y_pred18","y_pred18_red","n2017","n2016","n2015","n2014","n2013","n2012","n2011","n2010"
1,"7600110000000002140104","0218","Chipichape","La Flora",0.591905416634148,1,0.564470279994714,1,0.825262360677061,1,0.698916091297862,1,2,0,0,0,0,2,0,0
2,"7600110000000002170220","0215","El Bosque","La Flora",4.97374358974359,5,5.13472527472527,5,3.36747863247863,3,2.92615384615384,3,0,5,7,6,0,6,1,4
3,"7600110000000002140103","0213","La Campina","La Flora",0.562107622949864,1,1.20521386429648,1,0.461177637561945,0,2.08603027516406,2,1,0,0,1,0,1,1,3
4,"7600110000000019020129","1995","Sector Canaveralejo Guadalupe","El Lido",4.70722006198929,5,5.2236510754203,5,4.52294871794871,5,4.08947402597402,4,3,6,5,8,5,2,9,3
5,"7600110000000017360423","1774","Caney","El Ingenio",6.29577533577533,6,4.98070512820512,5,4.28380036630036,4,4.56684704184704,5,5,7,4,5,5,3,5,2
6,"7600110000000017360408","1774","Caney","El Ingenio",0.144564256289461,0,0.225626762787068,0,0.16141698982329,0,0.170945370472536,0,0,0,0,1,0,1,0,0
7,"7600110000000017160949","1774","Caney","El Ingenio",0.122287126439157,0,0.122287126439157,0,0.115685174630154,0,0.115685174630154,0,0,0,0,0,0,0,0,0
8,"7600110000000017360509","1775","Lili","El Ingenio",0.122287126439157,0,0.17144355438528,0,0.115055754816565,0,0.244162654910363,0,0,0,0,0,0,1,0,0
9,"7600110000000017210118","1783","Ciudad Capri","La Hacienda",0.341455391805995,0,0.236183987931048,0,0.446676973846048,0,0.350215930634388,0,1,0,0,1,0,0,0,0
10,"7600110000000017210219","1783","Ciudad Capri","La Hacienda",0.680110816454844,1,0.805622847133878,1,0.988417356721592,1,1.12579341179528,1,2,0,2,1,0,0,0,0
11,"7600110000000017210412","1783","Ciudad Capri","La Hacienda",1.49188094811171,1,0.662824768368885,1,1.43722181126463,1,2.47907297604356,2,0,2,3,1,3,1,3,2
12,"7600110000000017150202","1780","El Ingenio","El Ingenio",0.509435485357997,1,0.297797303174216,0,0.857785624891288,1,0.279889359074634,0,0,0,0,0,1,0,2,0
13,"7600110000000017250207","1789","El Gran Limonar - Cataya","La Hacienda",0.122287126439157,0,0.122287126439157,0,0.115685174630154,0,0.115685174630154,0,0,0,0,0,0,0,0,0
